rank_this_week,rank_last_week,player_name,rounds,avg,total_distance,total_drives,tournamet_id,tournament_name,year,type
52,,Kramer Hickok,4,290.8,"2,326",8,t020,Houston Open,2020,weekly
53,51,James Hahn,4,290,"2,320",8,t020,Houston Open,2020,weekly
54,,Rhein Gibson,4,289.3,"2,314",8,t020,Houston Open,2020,weekly
55,T24,Russell Knox,4,289,"2,312",8,t020,Houston Open,2020,weekly
56,,Brandon Wu,4,288.3,"2,306",8,t020,Houston Open,2020,weekly
57,,Brice Garnett,4,287.5,"2,300",8,t020,Houston Open,2020,weekly
58,T69,Bo Hoag,4,287.4,"2,299",8,t020,Houston Open,2020,weekly
59,,Braden Bailey,4,286.8,"2,294",8,t020,Houston Open,2020,weekly
60,,Jim Herman,4,286.6,"2,293",8,t020,Houston Open,2020,weekly
61,,Chad Campbell,4,286.1,"2,289",8,t020,Houston Open,2020,weekly
62,,Peter Malnati,4,285.8,"2,286",8,t020,Houston Open,2020,weekly
63,,J.J. Henry,4,285.5,"2,284",8,t020,Houston Open,2020,weekly
64,,Boo Weekley,4,284.8,"2,278",8,t020,Houston Open,2020,weekly
65,33,Brian Gay,4,284.5,"2,276",8,t020,Houston Open,2020,weekly
66,,Ricky Barnes,4,283.5,"2,268",8,t020,Houston Open,2020,weekly
67,62,Kyle Stanley,4,283.1,"2,265",8,t020,Houston Open,2020,weekly
68,,Bill Haas,4,283,"2,264",8,t020,Houston Open,2020,weekly
69,,Roberto Castro,4,282.6,"2,261",8,t020,Houston Open,2020,weekly
70,68,John Huh,4,282.4,"2,259",8,t020,Houston Open,2020,weekly
71,66,Chris Stroud,4,282.3,"2,258",8,t020,Houston Open,2020,weekly
72,,George McNeill,4,282,"2,256",8,t020,Houston Open,2020,weekly
73,T58,Russell Henley,4,280.1,"2,241",8,t020,Houston Open,2020,weekly
74,,Brendon Todd,4,278.4,"2,227",8,t020,Houston Open,2020,weekly
75,52,Ben Taylor,4,278.1,"2,225",8,t020,Houston Open,2020,weekly
76,,Ryan Armour,4,278,"2,224",8,t020,Houston Open,2020,weekly
77,,Rob Oppenheim,4,277.4,"2,219",8,t020,Houston Open,2020,weekly
78,,Zac Blair,4,270.8,"2,166",8,t020,Houston Open,2020,weekly
1,,Tony Finau,4,335,"2,680",8,t047,Shriners Hospitals for Children Open,2020,weekly
2,,Beau Hossler,4,332.8,"2,662",8,t047,Shriners Hospitals for Children Open,2020,weekly
3,,Adam Schenk,4,331.9,"2,655",8,t047,Shriners Hospitals for Children Open,2020,weekly
4,26,Patrick Cantlay,4,330.6,"2,645",8,t047,Shriners Hospitals for Children Open,2020,weekly
5,,Danny Lee,4,327.8,"2,622",8,t047,Shriners Hospitals for Children Open,2020,weekly
6,,Kevin Tway,4,327.3,"2,618",8,t047,Shriners Hospitals for Children Open,2020,weekly
7,,Ryan Palmer,4,326.1,"2,609",8,t047,Shriners Hospitals for Children Open,2020,weekly
8,,Matt Jones,4,325.6,"2,605",8,t047,Shriners Hospitals for Children Open,2020,weekly
9,,Scott Stallings,4,324.6,"2,597",8,t047,Shriners Hospitals for Children Open,2020,weekly
T10,,Martin Laird,4,323.9,"2,591",8,t047,Shriners Hospitals for Children Open,2020,weekly
T10,,Matthew Wolff,4,323.9,"2,591",8,t047,Shriners Hospitals for Children Open,2020,weekly
12,,Scottie Scheffler,4,323.5,"2,588",8,t047,Shriners Hospitals for Children Open,2020,weekly
13,17,Charles Howell III,4,322.6,"2,581",8,t047,Shriners Hospitals for Children Open,2020,weekly
14,,Gary Woodland,4,322.3,"2,578",8,t047,Shriners Hospitals for Children Open,2020,weekly
15,T23,Daniel Berger,4,321.3,"2,570",8,t047,Shriners Hospitals for Children Open,2020,weekly
16,,Joel Dahmen,4,320.4,"2,563",8,t047,Shriners Hospitals for Children Open,2020,weekly
17,,Pat Perez,4,319,"2,552",8,t047,Shriners Hospitals for Children Open,2020,weekly
18,,Charley Hoffman,4,318.9,"2,551",8,t047,Shriners Hospitals for Children Open,2020,weekly
19,,Jason Kokrak,4,318.3,"2,546",8,t047,Shriners Hospitals for Children Open,2020,weekly
20,15,Harold Varner III,4,317.6,"2,541",8,t047,Shriners Hospitals for Children Open,2020,weekly
T21,T6,Lanto Griffin,4,317,"2,536",8,t047,Shriners Hospitals for Children Open,2020,weekly
T21,,Sung Kang,4,317,"2,536",8,t047,Shriners Hospitals for Children Open,2020,weekly
23,14,Maverick McNealy,4,316.8,"2,534",8,t047,Shriners Hospitals for Children Open,2020,weekly
T24,,Brian Harman,4,316.6,"2,533",8,t047,Shriners Hospitals for Children Open,2020,weekly
T24,,Russell Knox,4,316.6,"2,533",8,t047,Shriners Hospitals for Children Open,2020,weekly
26,T48,Nick Taylor,4,316.4,"2,531",8,t047,Shriners Hospitals for Children Open,2020,weekly
27,,Luke List,4,316.1,"2,529",8,t047,Shriners Hospitals for Children Open,2020,weekly
28,,Kevin Na,4,315.5,"2,524",8,t047,Shriners Hospitals for Children Open,2020,weekly
29,16,Bryson DeChambeau,4,314.8,"2,518",8,t047,Shriners Hospitals for Children Open,2020,weekly
30,12,Robby Shelton,4,314.6,"2,517",8,t047,Shriners Hospitals for Children Open,2020,weekly
31,3,Isaiah Salinda,4,314.4,"2,515",8,t047,Shriners Hospitals for Children Open,2020,weekly
32,,Phil Mickelson,4,314.1,"2,513",8,t047,Shriners Hospitals for Children Open,2020,weekly
33,55,Brian Gay,4,313.4,"2,507",8,t047,Shriners Hospitals for Children Open,2020,weekly
34,41,Kris Ventura,4,313.3,"2,506",8,t047,Shriners Hospitals for Children Open,2020,weekly
35,37,Collin Morikawa,4,312.6,"2,501",8,t047,Shriners Hospitals for Children Open,2020,weekly
36,25,Brendan Steele,4,312.4,"2,499",8,t047,Shriners Hospitals for Children Open,2020,weekly
T37,,Keegan Bradley,4,311.8,"2,494",8,t047,Shriners Hospitals for Children Open,2020,weekly
T37,T45,Adam Hadwin,4,311.8,"2,494",8,t047,Shriners Hospitals for Children Open,2020,weekly
T37,,Sam Ryder,4,311.8,"2,494",8,t047,Shriners Hospitals for Children Open,2020,weekly
40,T39,Carlos Ortiz,4,311.5,"2,492",8,t047,Shriners Hospitals for Children Open,2020,weekly
41,,Ryan Moore,4,311.4,"2,491",8,t047,Shriners Hospitals for Children Open,2020,weekly
42,T34,Talor Gooch,4,311.1,"2,489",8,t047,Shriners Hospitals for Children Open,2020,weekly
43,,Doc Redman,4,310.6,"2,485",8,t047,Shriners Hospitals for Children Open,2020,weekly
44,28,Si Woo Kim,4,310.1,"2,481",8,t047,Shriners Hospitals for Children Open,2020,weekly
45,,Bronson Burgoon,4,310,"2,480",8,t047,Shriners Hospitals for Children Open,2020,weekly
46,,Patton Kizzire,4,309.8,"2,478",8,t047,Shriners Hospitals for Children Open,2020,weekly
47,66,Aaron Baddeley,4,307.9,"2,463",8,t047,Shriners Hospitals for Children Open,2020,weekly
48,11,Chesson Hadley,4,307.8,"2,462",8,t047,Shriners Hospitals for Children Open,2020,weekly
49,,Peter Uihlein,4,307.1,"2,457",8,t047,Shriners Hospitals for Children Open,2020,weekly
50,,Chase Koepka,4,307,"2,456",8,t047,Shriners Hospitals for Children Open,2020,weekly
51,,James Hahn,4,306.6,"2,453",8,t047,Shriners Hospitals for Children Open,2020,weekly
52,,Ben Taylor,4,306.1,"2,449",8,t047,Shriners Hospitals for Children Open,2020,weekly
53,,Cameron Smith,4,305,"2,440",8,t047,Shriners Hospitals for Children Open,2020,weekly
54,,Matt Every,4,304.9,"2,439",8,t047,Shriners Hospitals for Children Open,2020,weekly
55,T42,John Oda,4,304.8,"2,438",8,t047,Shriners Hospitals for Children Open,2020,weekly
56,,Hideki Matsuyama,4,304.3,"2,434",8,t047,Shriners Hospitals for Children Open,2020,weekly
57,,Lucas Glover,4,304.1,"2,433",8,t047,Shriners Hospitals for Children Open,2020,weekly
T58,,Denny McCarthy,4,304,"2,432",8,t047,Shriners Hospitals for Children Open,2020,weekly
T58,,Russell Henley,4,304,"2,432",8,t047,Shriners Hospitals for Children Open,2020,weekly
60,,Nate Lashley,4,303.1,"2,425",8,t047,Shriners Hospitals for Children Open,2020,weekly
61,,Jack Trent,4,302.8,"2,422",8,t047,Shriners Hospitals for Children Open,2020,weekly
62,,Kyle Stanley,4,302.6,"2,421",8,t047,Shriners Hospitals for Children Open,2020,weekly
63,21,Xinjun Zhang,4,301.4,"2,411",8,t047,Shriners Hospitals for Children Open,2020,weekly
64,,Andrew Putnam,4,301,"2,408",8,t047,Shriners Hospitals for Children Open,2020,weekly
65,18,Adam Scott,4,299.6,"2,397",8,t047,Shriners Hospitals for Children Open,2020,weekly
66,,Chris Stroud,4,299.1,"2,393",8,t047,Shriners Hospitals for Children Open,2020,weekly
67,,Troy Merritt,4,298,"2,384",8,t047,Shriners Hospitals for Children Open,2020,weekly
68,,John Huh,4,297.9,"2,383",8,t047,Shriners Hospitals for Children Open,2020,weekly
T69,27,Bo Hoag,4,297.6,"2,381",8,t047,Shriners Hospitals for Children Open,2020,weekly
T69,33,Mark Hubbard,4,297.6,"2,381",8,t047,Shriners Hospitals for Children Open,2020,weekly
71,,Webb Simpson,4,297.3,"2,378",8,t047,Shriners Hospitals for Children Open,2020,weekly
T72,T45,Brandt Snedeker,4,297,"2,376",8,t047,Shriners Hospitals for Children Open,2020,weekly
T72,38,Jim Furyk,4,297,"2,376",8,t047,Shriners Hospitals for Children Open,2020,weekly
74,,Matthew NeSmith,4,295.3,"2,362",8,t047,Shriners Hospitals for Children Open,2020,weekly
75,61,Brian Stuard,4,295.1,"2,361",8,t047,Shriners Hospitals for Children Open,2020,weekly
76,58,Fabián Gómez,4,292.3,"2,338",8,t047,Shriners Hospitals for Children Open,2020,weekly
1,1,Cameron Champ,4,337.1,"2,697",8,t464,Safeway Open,2020,weekly
2,,Tyler McCumber,4,329.1,"2,633",8,t464,Safeway Open,2020,weekly
3,,Isaiah Salinda,4,315.9,"2,527",8,t464,Safeway Open,2020,weekly
4,19,Patrick Rodgers,4,315.3,"2,522",8,t464,Safeway Open,2020,weekly
5,5,Rafael Campos,4,314.6,"2,517",8,t464,Safeway Open,2020,weekly
T6,T9,Harris English,4,314.1,"2,513",8,t464,Safeway Open,2020,weekly
T6,4,Lanto Griffin,4,314.1,"2,513",8,t464,Safeway Open,2020,weekly
8,,Marc Leishman,4,313.9,"2,511",8,t464,Safeway Open,2020,weekly
9,3,Sebastián Muñoz,4,313,"2,504",8,t464,Safeway Open,2020,weekly
10,,Justin Thomas,4,312.9,"2,503",8,t464,Safeway Open,2020,weekly
11,,Chesson Hadley,4,312.3,"2,498",8,t464,Safeway Open,2020,weekly
12,24,Robby Shelton,4,311.8,"2,494",8,t464,Safeway Open,2020,weekly
13,T9,Cameron Tringale,4,311.4,"2,491",8,t464,Safeway Open,2020,weekly
14,,Maverick McNealy,4,311.1,"2,489",8,t464,Safeway Open,2020,weekly
15,,Harold Varner III,4,310.5,"2,484",8,t464,Safeway Open,2020,weekly
16,,Bryson DeChambeau,4,310.4,"2,483",8,t464,Safeway Open,2020,weekly
17,,Charles Howell III,4,310,"2,480",8,t464,Safeway Open,2020,weekly
18,,Adam Scott,4,309.9,"2,479",8,t464,Safeway Open,2020,weekly
19,T46,Cameron Percy,4,309.1,"2,473",8,t464,Safeway Open,2020,weekly
20,,Corey Conners,4,308.6,"2,469",8,t464,Safeway Open,2020,weekly
21,T46,Xinjun Zhang,4,308.5,"2,468",8,t464,Safeway Open,2020,weekly
22,T41,Sungjae Im,4,308.3,"2,466",8,t464,Safeway Open,2020,weekly
T23,,Daniel Berger,4,307.5,"2,460",8,t464,Safeway Open,2020,weekly
T23,,Kevin Chappell,4,307.5,"2,460",8,t464,Safeway Open,2020,weekly
25,,Brendan Steele,4,306.9,"2,455",8,t464,Safeway Open,2020,weekly
26,,Patrick Cantlay,4,306,"2,448",8,t464,Safeway Open,2020,weekly
27,55,Bo Hoag,4,304.6,"2,437",8,t464,Safeway Open,2020,weekly
28,T38,Si Woo Kim,4,304.5,"2,436",8,t464,Safeway Open,2020,weekly
29,,Jhonattan Vegas,4,304.4,"2,435",8,t464,Safeway Open,2020,weekly
T30,,Scott Piercy,4,304,"2,432",8,t464,Safeway Open,2020,weekly
T30,,Rhein Gibson,4,304,"2,432",8,t464,Safeway Open,2020,weekly
32,,Bo Van Pelt,4,303.4,"2,427",8,t464,Safeway Open,2020,weekly
33,,Mark Hubbard,4,303,"2,424",8,t464,Safeway Open,2020,weekly
T34,,Talor Gooch,4,302.6,"2,421",8,t464,Safeway Open,2020,weekly
T34,36,Dylan Frittelli,4,302.6,"2,421",8,t464,Safeway Open,2020,weekly
36,,Michael Thompson,4,302.3,"2,418",8,t464,Safeway Open,2020,weekly
37,,Collin Morikawa,4,300.5,"2,404",8,t464,Safeway Open,2020,weekly
38,,Jim Furyk,4,300.4,"2,403",8,t464,Safeway Open,2020,weekly
T39,60,Adam Long,4,300.3,"2,402",8,t464,Safeway Open,2020,weekly
T39,8,Carlos Ortiz,4,300.3,"2,402",8,t464,Safeway Open,2020,weekly
41,,Kris Ventura,4,300,"2,400",8,t464,Safeway Open,2020,weekly
T42,,John Oda,4,299.3,"2,394",8,t464,Safeway Open,2020,weekly
T42,,Hank Lebioda,4,299.3,"2,394",8,t464,Safeway Open,2020,weekly
44,,Michael Gligic,4,299.1,"2,393",8,t464,Safeway Open,2020,weekly
T45,62,Brandt Snedeker,4,298.4,"2,387",8,t464,Safeway Open,2020,weekly
T45,,Adam Hadwin,4,298.4,"2,387",8,t464,Safeway Open,2020,weekly
T45,,Andrew Landry,4,298.4,"2,387",8,t464,Safeway Open,2020,weekly
T48,,Scott Harrington,4,297.9,"2,383",8,t464,Safeway Open,2020,weekly
T48,,Nick Taylor,4,297.9,"2,383",8,t464,Safeway Open,2020,weekly
T50,,Nick Watney,4,297.6,"2,381",8,t464,Safeway Open,2020,weekly
T50,,Harry Higgs,4,297.6,"2,381",8,t464,Safeway Open,2020,weekly
52,,Francesco Molinari,4,297,"2,376",8,t464,Safeway Open,2020,weekly
53,,Chez Reavie,4,296.1,"2,369",8,t464,Safeway Open,2020,weekly
54,,Brice Garnett,4,295.4,"2,363",8,t464,Safeway Open,2020,weekly
55,53,Brian Gay,4,295,"2,360",8,t464,Safeway Open,2020,weekly
56,,Tyler Duncan,4,294.9,"2,359",8,t464,Safeway Open,2020,weekly
57,65,David Hearn,4,294.4,"2,355",8,t464,Safeway Open,2020,weekly
58,58,Fabián Gómez,4,292.8,"2,342",8,t464,Safeway Open,2020,weekly
59,,Bud Cauley,4,291.9,"2,335",8,t464,Safeway Open,2020,weekly
60,,Vaughn Taylor,4,291.8,"2,334",8,t464,Safeway Open,2020,weekly
61,57,Brian Stuard,4,291.5,"2,332",8,t464,Safeway Open,2020,weekly
62,,Max Homa,4,289.1,"2,313",8,t464,Safeway Open,2020,weekly
63,,Zac Blair,4,288.5,"2,308",8,t464,Safeway Open,2020,weekly
T64,,Rob Oppenheim,4,287.1,"2,297",8,t464,Safeway Open,2020,weekly
T64,,Roger Sloan,4,287.1,"2,297",8,t464,Safeway Open,2020,weekly
66,,Aaron Baddeley,4,285.1,"2,281",8,t464,Safeway Open,2020,weekly
67,50,Ricky Barnes,4,280.4,"2,243",8,t464,Safeway Open,2020,weekly
1,,Cameron Champ,4,334,"2,672",8,t054,Sanderson Farms Championship,2020,weekly
2,,Cam Davis,4,316.4,"2,531",8,t054,Sanderson Farms Championship,2020,weekly
3,20,Sebastián Muñoz,4,315.4,"2,523",8,t054,Sanderson Farms Championship,2020,weekly
4,T13,Lanto Griffin,4,313.5,"2,508",8,t054,Sanderson Farms Championship,2020,weekly
5,,Rafael Campos,4,313.4,"2,507",8,t054,Sanderson Farms Championship,2020,weekly
6,1,Byeong Hun An,4,311.9,"2,495",8,t054,Sanderson Farms Championship,2020,weekly
7,,Sam Burns,4,311.8,"2,494",8,t054,Sanderson Farms Championship,2020,weekly
8,,Carlos Ortiz,4,310.9,"2,487",8,t054,Sanderson Farms Championship,2020,weekly
T9,19,Harris English,4,310.8,"2,486",8,t054,Sanderson Farms Championship,2020,weekly
T9,5,Sebastian Cappelen,4,310.8,"2,486",8,t054,Sanderson Farms Championship,2020,weekly
T9,42,Cameron Tringale,4,310.8,"2,486",8,t054,Sanderson Farms Championship,2020,weekly
12,8,Scottie Scheffler,4,309.9,"2,479",8,t054,Sanderson Farms Championship,2020,weekly
13,,Scott Stallings,4,308.8,"2,470",8,t054,Sanderson Farms Championship,2020,weekly
14,,Kevin Streelman,4,308.6,"2,469",8,t054,Sanderson Farms Championship,2020,weekly
15,,Vincent Whaley,4,307.8,"2,462",8,t054,Sanderson Farms Championship,2020,weekly
16,7,Zack Sucher,4,307.6,"2,461",8,t054,Sanderson Farms Championship,2020,weekly
17,,Aaron Wise,4,306.6,"2,453",8,t054,Sanderson Farms Championship,2020,weekly
18,,Stewart Cink,4,306.5,"2,452",8,t054,Sanderson Farms Championship,2020,weekly
19,4,Patrick Rodgers,4,306.3,"2,450",8,t054,Sanderson Farms Championship,2020,weekly
20,,Emiliano Grillo,4,303.4,"2,427",8,t054,Sanderson Farms Championship,2020,weekly
21,,Adam Schenk,4,302.8,"2,422",8,t054,Sanderson Farms Championship,2020,weekly
T22,,Shawn Stefani,4,302.5,"2,420",8,t054,Sanderson Farms Championship,2020,weekly
T22,,Bill Haas,4,302.5,"2,420",8,t054,Sanderson Farms Championship,2020,weekly
24,26,Robby Shelton,4,302.3,"2,418",8,t054,Sanderson Farms Championship,2020,weekly
25,,Garrett Osborn,4,302.1,"2,417",8,t054,Sanderson Farms Championship,2020,weekly
26,6,Dominic Bozzelli,4,301.9,"2,415",8,t054,Sanderson Farms Championship,2020,weekly
T27,,Michael Gellerman,4,301.1,"2,409",8,t054,Sanderson Farms Championship,2020,weekly
T27,,Charley Hoffman,4,301.1,"2,409",8,t054,Sanderson Farms Championship,2020,weekly
29,,Davis Riley,4,300.9,"2,407",8,t054,Sanderson Farms Championship,2020,weekly
30,34,Peter Uihlein,4,300.5,"2,404",8,t054,Sanderson Farms Championship,2020,weekly
31,17,Jonathan Byrd,4,300.1,"2,401",8,t054,Sanderson Farms Championship,2020,weekly
32,,J.T. Poston,4,299.6,"2,397",8,t054,Sanderson Farms Championship,2020,weekly
33,40,Tom Hoge,4,299.4,"2,395",8,t054,Sanderson Farms Championship,2020,weekly
34,11,Mark Anderson,4,299.3,"2,394",8,t054,Sanderson Farms Championship,2020,weekly
35,T48,Denny McCarthy,4,299.1,"2,393",8,t054,Sanderson Farms Championship,2020,weekly
36,,Dylan Frittelli,4,299,"2,392",8,t054,Sanderson Farms Championship,2020,weekly
37,,Anirban Lahiri,4,298.5,"2,388",8,t054,Sanderson Farms Championship,2020,weekly
T38,,Si Woo Kim,4,298.4,"2,387",8,t054,Sanderson Farms Championship,2020,weekly
T38,T35,Doc Redman,4,298.4,"2,387",8,t054,Sanderson Farms Championship,2020,weekly
40,46,Robert Streb,4,298.1,"2,385",8,t054,Sanderson Farms Championship,2020,weekly
T41,37,Sungjae Im,4,297.8,"2,382",8,t054,Sanderson Farms Championship,2020,weekly
T41,,George McNeill,4,297.8,"2,382",8,t054,Sanderson Farms Championship,2020,weekly
T43,,Jamie Lovemark,4,297.3,"2,378",8,t054,Sanderson Farms Championship,2020,weekly
T43,55,Scott Brown,4,297.3,"2,378",8,t054,Sanderson Farms Championship,2020,weekly
45,,Chase Seiffert,4,297,"2,376",8,t054,Sanderson Farms Championship,2020,weekly
T46,,Peter Malnati,4,296.9,"2,375",8,t054,Sanderson Farms Championship,2020,weekly
T46,,Xinjun Zhang,4,296.9,"2,375",8,t054,Sanderson Farms Championship,2020,weekly
T46,58,Cameron Percy,4,296.9,"2,375",8,t054,Sanderson Farms Championship,2020,weekly
49,47,Joaquin Niemann,4,296.3,"2,370",8,t054,Sanderson Farms Championship,2020,weekly
50,,Ricky Barnes,4,296,"2,368",8,t054,Sanderson Farms Championship,2020,weekly
51,T13,Richy Werenski,4,295.8,"2,366",8,t054,Sanderson Farms Championship,2020,weekly
52,62,Brian Harman,4,295.5,"2,364",8,t054,Sanderson Farms Championship,2020,weekly
53,,Brian Gay,4,295.4,"2,363",8,t054,Sanderson Farms Championship,2020,weekly
54,59,Bronson Burgoon,4,294,"2,352",8,t054,Sanderson Farms Championship,2020,weekly
55,,Bo Hoag,4,293.6,"2,349",8,t054,Sanderson Farms Championship,2020,weekly
56,43,J.J. Spaun,4,292.9,"2,343",8,t054,Sanderson Farms Championship,2020,weekly
57,,Brian Stuard,4,292.6,"2,341",8,t054,Sanderson Farms Championship,2020,weekly
58,,Fabián Gómez,4,292.5,"2,340",8,t054,Sanderson Farms Championship,2020,weekly
59,,Daniel Chopra,4,291.8,"2,334",8,t054,Sanderson Farms Championship,2020,weekly
60,51,Adam Long,4,291.6,"2,333",8,t054,Sanderson Farms Championship,2020,weekly
61,,Zach Johnson,4,287.9,"2,303",8,t054,Sanderson Farms Championship,2020,weekly
62,,Brandt Snedeker,4,286.8,"2,294",8,t054,Sanderson Farms Championship,2020,weekly
63,,Alex Cejka,4,286.1,"2,289",8,t054,Sanderson Farms Championship,2020,weekly
64,61,Roberto Castro,4,284,"2,272",8,t054,Sanderson Farms Championship,2020,weekly
65,66,David Hearn,4,282.9,"2,263",8,t054,Sanderson Farms Championship,2020,weekly
66,,Tommy Gainey,4,282.6,"2,261",8,t054,Sanderson Farms Championship,2020,weekly
67,,Ben Crane,4,282.4,"2,259",8,t054,Sanderson Farms Championship,2020,weekly
68,32,Russell Henley,4,281,"2,248",8,t054,Sanderson Farms Championship,2020,weekly
1,NA,Byeong Hun An,4,338.5,"2,708",8,t490,A Military Tribute at The Greenbrier,2020,weekly
2,NA,Grayson Murray,4,338.3,"2,706",8,t490,A Military Tribute at The Greenbrier,2020,weekly
3,NA,Bubba Watson,4,337.4,"2,699",8,t490,A Military Tribute at The Greenbrier,2020,weekly
4,NA,Patrick Rodgers,4,336.5,"2,692",8,t490,A Military Tribute at The Greenbrier,2020,weekly
5,NA,Sebastian Cappelen,4,334.6,"2,677",8,t490,A Military Tribute at The Greenbrier,2020,weekly
6,NA,Dominic Bozzelli,4,334.5,"2,676",8,t490,A Military Tribute at The Greenbrier,2020,weekly
7,NA,Zack Sucher,4,334.3,"2,674",8,t490,A Military Tribute at The Greenbrier,2020,weekly
8,NA,Scottie Scheffler,4,331.5,"2,652",8,t490,A Military Tribute at The Greenbrier,2020,weekly
9,NA,Sam Ryder,4,331.4,"2,651",8,t490,A Military Tribute at The Greenbrier,2020,weekly
10,NA,Harold Varner III,4,329.4,"2,635",8,t490,A Military Tribute at The Greenbrier,2020,weekly
11,NA,Mark Anderson,4,328.9,"2,631",8,t490,A Military Tribute at The Greenbrier,2020,weekly
12,NA,Joseph Bramlett,4,328.3,"2,626",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T13,NA,Lanto Griffin,4,328,"2,624",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T13,NA,Richy Werenski,4,328,"2,624",8,t490,A Military Tribute at The Greenbrier,2020,weekly
15,NA,Sung Kang,4,327.6,"2,621",8,t490,A Military Tribute at The Greenbrier,2020,weekly
16,NA,Tyler McCumber,4,327.5,"2,620",8,t490,A Military Tribute at The Greenbrier,2020,weekly
17,NA,Jonathan Byrd,4,326.6,"2,613",8,t490,A Military Tribute at The Greenbrier,2020,weekly
18,NA,Vince Covello,4,325.4,"2,603",8,t490,A Military Tribute at The Greenbrier,2020,weekly
19,NA,Harris English,4,325.3,"2,602",8,t490,A Military Tribute at The Greenbrier,2020,weekly
20,NA,Sebastián Muñoz,4,324.4,"2,595",8,t490,A Military Tribute at The Greenbrier,2020,weekly
21,NA,Kevin Chappell,4,323.3,"2,586",8,t490,A Military Tribute at The Greenbrier,2020,weekly
22,NA,Hank Lebioda,4,322.4,"2,579",8,t490,A Military Tribute at The Greenbrier,2020,weekly
23,NA,Danny Lee,4,322.1,"2,577",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T24,NA,Rhein Gibson,4,321.8,"2,574",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T24,NA,Scott Piercy,4,321.8,"2,574",8,t490,A Military Tribute at The Greenbrier,2020,weekly
26,NA,Robby Shelton,4,321.1,"2,569",8,t490,A Military Tribute at The Greenbrier,2020,weekly
27,NA,Viktor Hovland,4,319.8,"2,558",8,t490,A Military Tribute at The Greenbrier,2020,weekly
28,NA,D.J. Trahan,4,319.5,"2,556",8,t490,A Military Tribute at The Greenbrier,2020,weekly
29,NA,Mark Hubbard,4,318.9,"2,551",8,t490,A Military Tribute at The Greenbrier,2020,weekly
30,NA,Martin Laird,4,318.8,"2,550",8,t490,A Military Tribute at The Greenbrier,2020,weekly
31,NA,Scott Harrington,4,318.4,"2,547",8,t490,A Military Tribute at The Greenbrier,2020,weekly
32,NA,Russell Henley,4,318.3,"2,546",8,t490,A Military Tribute at The Greenbrier,2020,weekly
33,NA,Matt Jones,4,318.1,"2,545",8,t490,A Military Tribute at The Greenbrier,2020,weekly
34,NA,Peter Uihlein,4,317.9,"2,543",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T35,NA,Harry Higgs,4,317.5,"2,540",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T35,NA,Doc Redman,4,317.5,"2,540",8,t490,A Military Tribute at The Greenbrier,2020,weekly
37,NA,Sungjae Im,4,315.9,"2,527",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T38,NA,Bud Cauley,4,315.5,"2,524",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T38,NA,Jason Dufner,4,315.5,"2,524",8,t490,A Military Tribute at The Greenbrier,2020,weekly
40,NA,Tom Hoge,4,315.1,"2,521",8,t490,A Military Tribute at The Greenbrier,2020,weekly
41,NA,Rob Oppenheim,4,314.8,"2,518",8,t490,A Military Tribute at The Greenbrier,2020,weekly
42,NA,Cameron Tringale,4,314.6,"2,517",8,t490,A Military Tribute at The Greenbrier,2020,weekly
43,NA,J.J. Spaun,4,314.3,"2,514",8,t490,A Military Tribute at The Greenbrier,2020,weekly
44,NA,Doug Ghim,4,314,"2,512",8,t490,A Military Tribute at The Greenbrier,2020,weekly
45,NA,Joel Dahmen,4,313.8,"2,510",8,t490,A Military Tribute at The Greenbrier,2020,weekly
46,NA,Robert Streb,4,313.6,"2,509",8,t490,A Military Tribute at The Greenbrier,2020,weekly
47,NA,Joaquin Niemann,4,312.9,"2,503",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T48,NA,Denny McCarthy,4,312.4,"2,499",8,t490,A Military Tribute at The Greenbrier,2020,weekly
T48,NA,Keegan Bradley,4,312.4,"2,499",8,t490,A Military Tribute at The Greenbrier,2020,weekly
50,NA,Nate Lashley,4,312.3,"2,498",8,t490,A Military Tribute at The Greenbrier,2020,weekly
51,NA,Adam Long,4,311.8,"2,494",8,t490,A Military Tribute at The Greenbrier,2020,weekly
52,NA,Brendan Steele,4,310.9,"2,487",8,t490,A Military Tribute at The Greenbrier,2020,weekly
53,NA,Andrew Novak,4,310.3,"2,482",8,t490,A Military Tribute at The Greenbrier,2020,weekly
54,NA,Beau Hossler,4,309.6,"2,477",8,t490,A Military Tribute at The Greenbrier,2020,weekly
55,NA,Scott Brown,4,309.4,"2,475",8,t490,A Military Tribute at The Greenbrier,2020,weekly
56,NA,Austin Cook,4,309.1,"2,473",8,t490,A Military Tribute at The Greenbrier,2020,weekly
57,NA,Nick Taylor,4,308.9,"2,471",8,t490,A Military Tribute at The Greenbrier,2020,weekly
58,NA,Cameron Percy,4,308.8,"2,470",8,t490,A Military Tribute at The Greenbrier,2020,weekly
59,NA,Bronson Burgoon,4,306.9,"2,455",8,t490,A Military Tribute at The Greenbrier,2020,weekly
